id,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
98,轻度污染,135.0,175.0,102.0,183.0,55.0,103.0,1.21,20.0
99,良,57.0,41.0,38.0,51.0,10.0,40.0,0.57,58.0
100,优,46.0,19.0,22.0,35.0,10.0,27.0,0.41,93.0
101,轻度污染,101.0,119.0,75.0,126.0,27.0,41.0,0.72,131.0
102,良,96.0,113.0,64.0,115.0,22.0,43.0,0.51,104.0
103,良,85.0,128.0,62.0,91.0,16.0,46.0,0.65,71.0
104,良,96.0,117.0,72.0,100.0,10.0,56.0,0.83,46.0
105,良,86.0,116.0,63.0,99.0,10.0,51.0,0.74,44.0
106,优,47.0,37.0,30.0,39.0,6.0,36.0,0.56,75.0
107,良,65.0,77.0,45.0,73.0,17.0,55.0,0.5,50.0
108,良,100.0,142.0,75.0,107.0,22.0,65.0,0.9,34.0
109,良,86.0,122.0,58.0,95.0,21.0,55.0,0.64,75.0
110,良,90.0,99.0,53.0,105.0,24.0,54.0,0.64,94.0
111,良,88.0,110.0,50.0,96.0,19.0,41.0,0.62,112.0
112,良,59.0,57.0,27.0,54.0,9.0,22.0,0.45,103.0
113,良,69.0,110.0,49.0,75.0,6.0,33.0,0.75,37.0
114,良,93.0,149.0,69.0,99.0,9.0,30.0,0.78,33.0
115,良,70.0,96.0,46.0,76.0,15.0,35.0,0.68,79.0
116,良,93.0,127.0,55.0,118.0,21.0,60.0,0.79,85.0
117,轻度污染,112.0,144.0,67.0,160.0,28.0,82.0,0.89,82.0
118,轻度污染,131.0,154.0,91.0,190.0,35.0,72.0,1.12,117.0
119,轻度污染,142.0,184.0,71.0,234.0,33.0,67.0,0.86,71.0
120,良,99.0,150.0,46.0,146.0,27.0,46.0,0.64,104.0
121,良,97.0,181.0,59.0,141.0,29.0,72.0,0.9,48.0
122,良,97.0,180.0,47.0,130.0,31.0,61.0,0.66,90.0
123,轻度污染,110.0,169.0,57.0,135.0,27.0,58.0,0.68,123.0
124,良,100.0,149.0,59.0,146.0,37.0,55.0,0.89,104.0
125,轻度污染,126.0,175.0,81.0,191.0,31.0,63.0,0.89,116.0
126,轻度污染,102.0,144.0,63.0,150.0,28.0,48.0,0.79,109.0
127,良,72.0,148.0,51.0,82.0,12.0,30.0,0.59,74.0
128,良,61.0,125.0,42.0,63.0,6.0,31.0,0.73,65.0
129,轻度污染,110.0,179.0,69.0,134.0,25.0,64.0,1.08,79.0
130,轻度污染,112.0,170.0,70.0,146.0,24.0,64.0,0.86,105.0
131,轻度污染,119.0,165.0,83.0,151.0,21.0,49.0,1.0,98.0
132,轻度污染,123.0,181.0,70.0,194.0,28.0,45.0,0.87,125.0
133,轻度污染,142.0,178.0,87.0,220.0,28.0,76.0,1.11,115.0
134,轻度污染,102.0,125.0,75.0,142.0,30.0,79.0,0.87,50.0
135,轻度污染,129.0,169.0,95.0,156.0,32.0,55.0,0.92,63.0
136,轻度污染,109.0,138.0,82.0,136.0,30.0,53.0,1.03,61.0
137,轻度污染,144.0,166.0,105.0,166.0,14.0,51.0,1.01,106.0
138,中度污染,193.0,183.0,140.0,234.0,29.0,68.0,1.24,148.0
139,轻度污染,143.0,163.0,84.0,146.0,27.0,34.0,0.66,147.0
140,良,82.0,110.0,37.0,84.0,19.0,29.0,0.43,114.0
141,良,74.0,135.0,46.0,80.0,17.0,46.0,0.62,64.0
142,轻度污染,109.0,119.0,81.0,108.0,8.0,38.0,0.86,53.0
143,轻度污染,147.0,152.0,91.0,224.0,23.0,60.0,0.8,106.0
144,重度污染,202.0,184.0,128.0,323.0,27.0,57.0,1.02,122.0
145,中度污染,189.0,188.0,133.0,274.0,28.0,77.0,0.98,139.0
146,重度污染,204.0,185.0,154.0,310.0,35.0,87.0,1.21,117.0
147,严重污染,265.0,188.0,216.0,333.0,29.0,61.0,1.42,104.0
148,轻度污染,138.0,139.0,101.0,159.0,18.0,30.0,0.82,108.0
149,良,73.0,102.0,53.0,66.0,11.0,29.0,0.7,35.0
